State,weather_avg_temp_c,weather_avg_precip_mm_day,weather_extreme_heat_days_year,weather_heavy_precip_days_year
AL,18.370005473453748,3.9003284072249587,9.795977011494253,19.392036124794746
AK,-1.6455938697318013,1.650574712643678,0.0,1.9991789819376027
AZ,20.74783798576902,1.0315270935960592,102.95771756978654,4.198275862068965
AR,17.027257799671595,3.6727422003284076,20.191707717569788,19.991789819376027
CA,17.883798576902027,1.5141762452107277,80.56691297208538,9.396141215106733
CO,1.494033935413246,1.1195949644225507,0.0,0.7996715927750411
CT,11.475369458128078,3.5710454296661194,1.7992610837438423,16.99302134646962
DE,14.607389162561574,3.429720853858785,2.7988505747126435,15.993431855500821
DC,14.405966064586755,3.7773946360153254,7.59688013136289,17.792692939244663
FL,22.946524356869187,4.005692391899288,10.395730706075533,14.194170771756978
GA,18.652271483305963,3.2542419266557197,10.995484400656814,15.39367816091954
HI,18.36168582375479,11.366447728516693,0.0,65.17323481116584
ID,1.8670498084291185,1.218281335522715,0.0,0.5997536945812808
IL,12.547016967706623,2.8461959496442253,0.9995894909688013,12.594827586206897
IN,12.144444444444446,2.9177887246852765,0.0,11.995073891625616
IA,10.70952380952381,2.3020251778872463,1.9991789819376027,9.995894909688014
KS,14.270060207991243,1.7952928297755884,25.989326765188835,7.197044334975369
KY,14.290968801313628,3.447345374931582,3.5985221674876846,16.5931855500821
LA,20.508100711548984,4.245593869731801,34.985632183908045,24.589901477832512
ME,7.759496442255063,3.3493158182813354,0.5997536945812808,16.79310344827586
MD,14.01576354679803,4.143787629994526,7.59688013136289,21.591133004926107
MA,10.28648056923919,3.5234811165845645,0.9995894909688013,16.99302134646962
MI,8.073727422003284,2.3276956759715386,0.0,6.197454844006567
MN,6.362780514504652,1.8054734537493158,0.7996715927750411,5.597701149425287
MS,18.49912424740011,4.412698412698413,18.992200328407225,23.390394088669954
MO,13.942145593869734,2.9718117131910233,13.194581280788176,12.794745484400657
MT,2.6369458128078818,1.896934865900383,0.0,3.1986863711001643
NE,10.728790366721402,1.4056923918992885,7.59688013136289,4.997947454844007
NV,8.033990147783252,0.7936507936507936,0.0,1.1995073891625616
NH,8.549863163656267,3.229228243021347,0.19991789819376027,15.79351395730706
NJ,13.278544061302682,3.4036672140120414,5.397783251231527,15.993431855500821
NM,12.463273125342091,0.7275314723590586,1.3994252873563218,1.1995073891625616
NY,8.482922824302134,3.5405582922824306,0.0,11.595238095238095
NC,16.736288998357963,3.3098522167487685,9.795977011494253,15.39367816091954
ND,5.903721948549535,1.3011494252873563,0.9995894909688013,4.198275862068965
OH,11.484181718664477,3.1467432950191574,0.0,11.795155993431855
OK,17.07985769020252,2.3732895457033387,41.38300492610838,12.794745484400657
OR,7.805801860974275,1.3921729611384783,3.3986042692939247,0.39983579638752054
PA,10.440339354132458,3.0282430213464697,0.19991789819376027,11.795155993431855
RI,11.011494252873563,3.6762999452654626,1.5993431855500821,17.392857142857142
SC,18.279365079365082,3.3730706075533665,7.59688013136289,15.39367816091954
SD,9.832402846195949,1.2418719211822657,16.19334975369458,3.5985221674876846
TN,16.000054734537493,4.578872468527641,7.396962233169129,24.989737274220033
TX,20.542419266557197,1.7372742200328408,81.16666666666666,7.59688013136289
UT,10.000602079912424,0.9461412151067323,8.596469622331691,0.9995894909688013
VT,6.634373289545703,3.5223864258347013,0.0,13.994252873563218
VA,14.890202517788726,2.985769020251779,7.396962233169129,12.194991789819378
WA,5.709414340448823,2.53847837985769,0.7996715927750411,7.796798029556651
WV,12.609961685823755,3.7109469074986317,0.0,13.794334975369459
WI,7.891187739463602,2.4195949644225507,0.19991789819376027,9.596059113300493
WY,7.3319649698960045,0.8372742200328408,2.199096880131363,1.9991789819376027
