EV Network,station_count,total_ports
ChargePoint Network,44349,78397
Blink Network,5744,21752
Non-Networked,5191,15131
Tesla Destination,4713,15647
Tesla,3016,36617
EV Connect,1416,4895
FLO,1178,2889
eVgo Network,1171,5000
Electrify America,1150,5619
LOOP,992,8024
AMPUP,836,3591
RED_E,805,3448
VIALYNK,707,3744
SWTCH,548,2283
OpConnect,438,1674
EVGATEWAY,396,2418
FORD_CHARGE,333,1220
NOODOE,323,1602
CHARGEUP,310,1035
UNIVERSAL,303,840
ZEFNET,293,803
CHARGESMART_EV,286,2102
EVCS,271,1483
EVOKE,242,2222
ENVIROSPARK,223,1203
RIVIAN_WAYPOINTS,208,542
CHARGELAB,197,768
FCN,189,1125
SYNERGEV,179,805
POWERFLEX,175,2992
FLASH,153,1305
RIVIAN_ADVENTURE,142,948
FPLEV,108,390
IONNA,99,936
TURNONGREEN,95,312
CIRCLE_K,94,382
SHELL_RECHARGE,94,833
BP_PULSE,80,664
AUTEL,76,396
GRAVITI_ENERGY,72,309
STAY_N_CHARGE,68,170
MERCEDES_BENZ,66,128
ABM,65,392
APPLEGREEN,64,260
EVMATCH,54,212
IN_CHARGE,52,81
EVRANGE,46,242
7CHARGE,44,155
NAYAX_ENERGY,40,324
OBE_POWER,36,42
CHAEVI,31,120
WEVO,25,85
WALMART,24,190
ELECTRIC_ERA,24,138
EVIUM,21,292
EPIC_CHARGING,18,89
ENERTECH,18,98
ITSELECTRIC,16,23
US_SUPERCHARGE,16,50
JULE,15,42
EVBOLT,15,32
POWERPUMP,13,79
POWERPORT_EVC,12,71
HYPERFUEL,11,70
KWIK_CHARGE,11,44
CHARGIE,11,296
DIRT_ROAD,10,59
REVITALIZE,7,38
REVEL,7,90
EVPOWER,5,20
AMPED_UP,5,29
WATT_EV,5,117
GO_TO_U,5,22
EVXY,4,40
CHARGENET,4,28
FLIPTURN,3,6
GREEN_BRIDGE,3,14
EVCHRON,2,4
QUICKCHARGE,2,6
ONPOINT_EV_SOLUTIONS,2,14
EVPASSPORT,2,8
MATCHA,1,2
XEAL,1,2
HONEY_BADGER,1,2
FLITWAY,1,8
EZVOLTZ,1,2
POWERCHARGE,1,4
ROVE,1,12
GRAVITY_CHARGING_CENTER,1,24
